NO,Nama,PRODI,Fasahah,Tajwid,Makhraj,BTQ,Tayamum,Wudhu,Bacaan,Gerakan,S. Jenazah,shalat,Total,CATATAN
22,Responden 22,PJKR,85,80,85,83.3,80,80,80,80,80,80,81.7,Layak
23,Responden 23,TEKNIK INFORMATIKA,82,85,80,82.3,80,80,78,80,85,80.6,81.5,Tidak layak
24,Responden 24,KIMIA,80,80,83,81.0,80,80,80,82,85,81.4,81.2,Layak
25,Responden 25,TEKNIK INFORMATIKA,80,80,80,80.0,82,80,78,82,85,81.4,80.7,Layak
26,Responden 26,PJKR,80,84,80,81.3,80,80,80,80,80,80,80.7,Layak
27,Responden 27,PGPAUD,80,85,80,81.7,80,80,75,80,83,79.6,80.6,Tidak layak
28,Responden 28,AKUNTANSI,80,82,80,80.7,80,80,82,80,80,80.4,80.5,Layak
29,Responden 29,ILMU HUKUM,80,82,80,80.7,75,80,80,81,82,79.6,80.1,Layak
30,Responden 30,TEKNIK INFORMATIKA,80,80,80,80.0,80,80,80,80,80,80,80.0,Layak
31,Responden 31,PGSD,80,80,80,80.0,80,80,80,80,80,80,80.0,Layak
32,Responden 32,P.MATEMATIKA,80,83,80,81.0,78,78,80,80,78,78.8,79.9,Tidak layak
33,Responden 33,PGPAUD,78,80,80,79.3,80,80,80,80,80,80,79.7,Tidak layak
34,Responden 34,AKUNTANSI,78,80,78,78.7,80,75,80,80,85,80,79.3,Tidak layak
35,Responden 35,TEKNIK INFORMATIKA,82,80,80,80.7,80,75,80,75,80,78,79.3,Tidak layak
36,Responden 36,PGSD,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
37,Responden 37,KIMIA,85,84,85,84.7,85,83,85,85,85,84.6,84.6,Layak
38,Responden 38,PBSI,82,85,82,83.0,83,85,85,83,84,84,83.5,Layak
39,Responden 39,PTI,83,82,80,81.7,83,83,85,82,85,83.6,82.6,Layak
40,Responden 40,TEKNIK SIPIL,85,82,83,83.3,81,83,82,83,80,81.8,82.6,Layak
41,Responden 41,AGRIBISNIS,82,83,82,82.3,83,83,82,82,82,82.4,82.4,Layak
42,Responden 42,ILMU HUKUM,85,80,85,83.3,81,82,80,80,80,80.6,82.0,Layak
43,Responden 43,PJKR,85,75,85,81.7,80,82,85,85,76,81.6,81.6,Layak
44,Responden 44,PBSI,82,82,81,81.7,81,80,83,81,83,81.6,81.6,Layak
45,Responden 45,SASING,82,84,81,82.3,81,79,81,81,80,80.4,81.4,Layak
46,Responden 46,TEKNIK INFORMATIKA,79,82,75,78.7,82,85,85,83,85,84,81.3,Layak
47,Responden 47,PBSI,78,85,78,80.3,83,83,80,81,79,81.2,80.8,Layak
48,Responden 48,SASING,83,82,81,82.0,75,81,79,80,80,79,80.5,Layak
49,Responden 49,ILMU HUKUM,79,80,79,79.3,80,80,85,80,83,81.6,80.5,Layak
50,Responden 50,P.BIOLOGI,80,78,80,79.3,80,81,83,81,82,81.4,80.4,Layak
51,Responden 51,ILMU HUKUM,79,81,79,79.7,80,81,80,81,82,80.8,80.2,Layak
52,Responden 52,ILMU HUKUM,80,80,80,80.0,79,80,82,80,79,80,80.0,Layak
53,Responden 53,ILMU HUKUM,80,81,80,80.3,78,78,80,80,82,79.6,80.0,Layak
54,Responden 54,TEKNIK INFORMATIKA,80,80,78,79.3,80,80,81,80,79,80,79.7,Tidak layak
55,Responden 55,ILMU HUKUM,80,75,77,77.3,80,80,77,77,78,78.4,77.9,Tidak layak
56,Responden 56,PBSI,75,77,73,75.0,80,80,82,80,80,80.4,77.7,Tidak layak
57,Responden 57,KIMIA,76,75,75,75.3,80,78,79,80,76,78.6,77.0,Tidak layak
58,Responden 58,TEKNIK INFORMATIKA,70,73,70,71.0,80,80,79,80,77,79.2,75.1,Tidak layak
59,Responden 59,TEKNIK INFORMATIKA,73,72,70,71.7,80,80,75,77,79,78.2,74.9,Tidak layak
60,Responden 60,PTI,75,70,71,72.0,80,76,75,75,70,75.2,73.6,Tidak layak
61,Responden 61,PJKR,75,73,71,73.0,70,73,70,73,65,70.2,71.6,Tidak layak
62,Responden 62,PJKR,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
63,Responden 63,TEKNIK INFORMATIKA,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
64,Responden 64,PBSI,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
65,Responden 65,AGRIBISNIS,80,85,80,81.7,80,80,80,80,80,80,80.8,Layak
66,Responden 66,AGRIBISNIS,80,85,80,81.7,80,80,80,80,79,79.8,80.7,Layak
67,Responden 67,ADBIS,80,85,80,81.7,80,80,80,78,80,79.6,80.6,Tidak layak
68,Responden 68,ADBIS,80,82,80,80.7,80,80,80,80,80,80,80.3,Layak
69,Responden 69,ADBIS,80,82,80,80.7,80,80,80,80,80,80,80.3,Layak
70,Responden 70,ADBIS,80,85,80,81.7,80,79,79,79,78,79,80.3,Layak
71,Responden 71,ADBIS,80,82,80,80.7,80,80,80,79,80,79.8,80.2,Tidak layak
72,Responden 72,ADBIS,80,80,80,80.0,80,80,80,80,80,80,80.0,Layak
73,Responden 73,ADBIS,80,80,80,80.0,80,80,80,80,80,80,80.0,Layak
74,Responden 74,ADBIS,79,82,79,80.0,80,80,80,78,80,79.6,79.8,Tidak layak
75,Responden 75,ADBIS,80,78,80,79.3,80,80,80,80,80,80,79.7,Tidak layak
76,Responden 76,ADBIS,78,82,78,79.3,80,80,79,80,80,79.8,79.6,Tidak layak
77,Responden 77,AGRIBISNIS,80,78,80,79.3,80,80,80,79,80,79.8,79.6,Tidak layak
78,Responden 78,ADBIS,80,80,80,80.0,80,79,80,78,78,79,79.5,Tidak layak
79,Responden 79,ADBIS,80,78,80,79.3,80,79,80,79,79,79.4,79.4,Tidak layak
80,Responden 80,ADBIS,79,80,79,79.3,78,80,80,80,78,79.2,79.3,Tidak layak
81,Responden 81,ADBIS,78,80,78,78.7,80,80,80,78,79,79.4,79.0,Tidak layak
82,Responden 82,ADBIS,80,78,80,79.3,78,78,79,79,79,78.6,79.0,Tidak layak
83,Responden 83,ADBIS,80,78,80,79.3,80,79,78,78,78,78.6,79.0,Tidak layak
84,Responden 84,ADBIS,79,78,79,78.7,80,80,78,79,78,79,78.8,Tidak layak
85,Responden 85,AGRIBISNIS,78,70,75,74.3,80,75,80,75,75,77,75.7,Tidak layak
86,Responden 86,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
87,Responden 87,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
88,Responden 88,S1 KEPERAWATAN,90,90,85,88.3,90,90,90,90,90,90,89.2,layak
89,Responden 89,AKUAKULTUR,90,90,90,90.0,85,90,80,90,90,87,88.5,layak
90,Responden 90,S1 KEPERAWATAN,90,90,90,90.0,85,90,85,85,89,86.8,88.4,layak
91,Responden 91,PGPAUD,90,90,90,90.0,85,85,90,90,80,86,88.0,Layak
92,Responden 92,S1 KEPERAWATAN,80,80,85,81.7,85,85,85,85,85,85,83.3,Layak
93,Responden 93,AKUNTANSI,85,85,80,83.3,80,85,80,85,85,83,83.2,Layak
94,Responden 94,PGSD,90,75,90,85.0,80,80,80,75,85,80,82.5,Layak
95,Responden 95,S1 KEPERAWATAN,80,80,80,80.0,85,85,80,85,85,84,82.0,Layak
96,Responden 96,PGSD,80,85,80,81.7,85,85,80,80,80,82,81.8,Layak
97,Responden 97,P.MATEMATIKA,85,80,85,83.3,85,80,80,80,75,80,81.7,Layak
98,Responden 98,PGSD,80,80,80,80.0,85,85,80,80,80,82,81.0,Layak
99,Responden 99,S1 KEPERAWATAN,85,75,80,80.0,80,80,85,80,85,82,81.0,Tidak layak
100,Responden 100,PGSD,85,80,80,81.7,85,75,80,80,80,80,80.8,Layak
101,Responden 101,PGSD,80,80,80,80.0,80,85,80,80,80,81,80.5,Layak
102,Responden 102,PGSD,80,75,80,78.3,85,85,80,80,80,82,80.2,Tidak layak
103,Responden 103,PGSD,80,80,80,80.0,80,85,80,75,80,80,80.0,Layak
104,Responden 104,AKUNTANSI,80,80,80,80.0,75,75,85,80,85,80,80.0,Tidak layak
105,Responden 105,P.MATEMATIKA,80,80,80,80.0,80,70,85,80,80,79,79.5,Tidak layak
106,Responden 106,AKUNTANSI,80,80,80,80.0,80,75,80,80,80,79,79.5,Tidak layak
107,Responden 107,PGSD,80,85,80,81.7,80,80,75,75,75,77,79.3,Tidak layak
108,Responden 108,AKUNTANSI,80,80,85,81.7,80,80,75,70,,76.25,79.0,Tidak layak
109,Responden 109,P.MATEMATIKA,80,85,80,81.7,80,70,70,70,75,73,77.3,Tidak layak
110,Responden 110,AKUAKULTUR,70,65,70,68.3,70,90,90,85,95,86,77.2,Tidak layak
111,Responden 111,AKUNTANSI,75,75,75,75.0,75,70,80,80,80,77,76.0,Tidak layak
112,Responden 112,PGSD,85,85,70,80.0,70,70,70,70,70,70,75.0,Tidak layak
113,Responden 113,ADPUB,65,60,60,61.7,70,70,65,70,65,68,64.8,Tidak layak
114,Responden 114,S1 KEPERAWATAN,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
115,Responden 115,ADPUB,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
116,Responden 116,ADBIS,75,85,80,80.0,85,85,85,80,80,83,81.5,Tidak layak
117,Responden 117,ADBIS,80,70,75,75.0,76,78,80,70,70,74.8,74.9,Tidak layak
118,Responden 118,ADPUB,80,80,83,81.0,85,85,85,80,83,83.6,82.3,Tidak layak
119,Responden 119,P.BIOLOGI,85,85,90,86.7,90,85,80,80,80,83,84.8,Layak
120,Responden 120,P.BIOLOGI,79,80,75,78.0,77,78,78,77,70,76,77.0,Tidak layak
121,Responden 121,PJKR,90,85,85,86.7,80,85,90,90,85,86,86.3,Layak
122,Responden 122,PJKR,85,85,85,85.0,79,79,80,78,78,78.8,81.9,Tidak layak
123,Responden 123,SASING,80,85,80,81.7,80,80,80,85,80,81,81.3,Tidak layak
124,Responden 124,TEKNIK INFORMATIKA,80,80,85,81.7,85,85,85,80,85,84,82.8,Layak
125,Responden 125,TEKNIK INFORMATIKA,78,80,75,77.7,70,78,77,70,70,73,75.3,Tidak Layak
126,Responden 126,PJKR,90,80,90,86.7,85,90,90,90,85,88,87.3,Layak
127,Responden 127,PJKR,85,85,80,83.3,80,80,80,85,80,81,82.2,Tidak Layak
128,Responden 128,P.BIOLOGI,85,85,85,85.0,85,85,80,70,85,81,83.0,Tidak Layak
129,Responden 129,ADBIS,80,82,79,80.3,75,75,70,75,75,74,77.2,Tidak Layak
130,Responden 130,ILMU HUKUM,70,85,70,75.0,60,70,70,70,70,68,71.5,Tidak Layak
131,Responden 131,ADBIS,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
132,Responden 132,ADBIS,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
133,Responden 133,ADBIS,90,85,90,88.3,90,90,90,90,90,90,89.2,Layak
134,Responden 134,ADPUB,88,95,88,90.3,95,95,95,89,92,93.2,91.8,Layak
135,Responden 135,ADPUB,93,95,90,92.7,87,87,95,85,95,89.8,91.2,Layak
136,Responden 136,ADPUB,80,68,80,76.0,69,69,65,78,79,72,74.0,Tidak Layak
137,Responden 137,ADPUB,80,80,78,79.3,85,80,85,83,85,83.6,81.5,Tidak Layak
138,Responden 138,AKUAKULTUR,80,82,80,80.7,78,78,78,78,80,78.4,79.5,Tidak Layak
139,Responden 139,AKUNTANSI,83,80,80,81.0,85,85,83,75,80,81.6,81.3,Tidak Layak
140,Responden 140,AKUNTANSI,85,78,80,81.0,85,80,80,70,80,79,80.0,Tidak Layak
141,Responden 141,D3 KEPERAWATAN,80,80,80,80.0,80,78,80,80,80,79.6,79.8,Tidak Layak
142,Responden 142,HUMAS,85,85,85,85.0,85,85,85,90,85,86,85.5,Layak
143,Responden 143,KIMIA,80,80,78,79.3,80,80,80,80,83,80.6,80.0,Tidak Layak
144,Responden 144,KIMIA,83,75,80,79.3,75,83,83,78,80,79.8,79.6,Tidak Layak
145,Responden 145,P.BIOLOGI,95,95,95,95.0,95,95,95,95,95,95,95.0,Layak
146,Responden 146,P.BIOLOGI,95,95,95,95.0,95,92,95,90,95,93.4,94.2,Layak
147,Responden 147,P.BIOLOGI,95,95,95,95.0,90,93,95,90,95,92.6,93.8,Layak
148,Responden 148,P.BIOLOGI,90,90,90,90.0,90,89,95,95,95,92.8,91.4,Layak
149,Responden 149,P.BIOLOGI,89,90,90,89.7,89,91,92,90,95,91.4,90.5,Layak
150,Responden 150,P.BIOLOGI,90,90,90,90.0,89,91,93,93,89,91,90.5,Layak
151,Responden 151,P.BIOLOGI,85,85,85,85.0,80,80,80,80,80,80,82.5,Tidak Layak
152,Responden 152,P.MATEMATIKA,80,80,79,79.7,77,75,80,78,78,77.6,78.6,Tidak Layak
153,Responden 153,P.MATEMATIKA,82,82,82,82.0,78,80,78,78,80,78.8,80.4,Tidak Layak
154,Responden 154,P.MATEMATIKA,80,82,80,80.7,78,78,78,78,78,78,79.3,Tidak Layak
155,Responden 155,PBSI,83,80,80,81.0,79,79,79,78,79,78.8,79.9,Tidak Layak
156,Responden 156,PBSI,80,80,80,80.0,79,78,78,79,79,78.6,79.3,Tidak Layak
157,Responden 157,PBSI,80,78,80,79.3,79,78,79,79,80,79,79.2,Tidak Layak
158,Responden 158,PBSI,79,69,79,75.7,78,79,79,78,78,78.4,77.0,Tidak Layak
159,Responden 159,PGPAUD,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
160,Responden 160,PGPAUD,90,90,90,90.0,85,90,90,85,90,88,89.0,Layak
161,Responden 161,PGPAUD,78,80,78,78.7,75,78,78,76,75,76.4,77.5,Tidak Layak
162,Responden 162,PGPAUD,75,78,78,77.0,75,78,78,75,75,76.2,76.6,Tidak Layak
163,Responden 163,PGSD,87,89,88,88.0,90,90,95,90,93,91.6,89.8,Layak
164,Responden 164,PGSD,80,80,80,80.0,85,80,80,80,80,81,80.5,Tidak Layak
165,Responden 165,PGSD,90,85,90,88.3,85,75,75,80,85,80,84.2,Tidak Layak
166,Responden 166,PGSD,80,82,80,80.7,78,80,78,80,80,79.2,79.9,Tidak Layak
167,Responden 167,PGSD,80,80,80,80.0,78,78,78,80,80,78.8,79.4,Tidak Layak
168,Responden 168,PGSD,80,80,80,80.0,78,80,80,78,78,78.8,79.4,Tidak Layak
169,Responden 169,PTI,90,90,90,90.0,92,95,93,91,94,93,91.5,Layak
170,Responden 170,S1 KEPERAWATAN,90,90,90,90.0,85,90,90,90,90,89,89.5,Layak
171,Responden 171,SASING,90,95,92,92.3,90,95,95,95,95,94,93.2,Layak
172,Responden 172,SASING,83,78,80,80.3,80,85,80,80,80,81,80.7,Tidak layak
173,Responden 173,TEKNIK INFORMATIKA,87,88,87,87.3,88,89,88,88,91,88.8,88.1,Layak
174,Responden 174,TEKNIK INFORMATIKA,85,85,85,85.0,85,75,75,75,80,78,81.5,Tidak layak
175,Responden 175,TEKNIK SIPIL,83,80,80,81.0,80,80,80,70,80,78,79.5,Tidak layak
176,Responden 176,ADBIS,75,80,80,78.3,75,75,80,80,85,79,78.7,Tidak layak
177,Responden 177,ADBIS,85,85,85,85.0,80,80,75,78,78,78.2,81.6,Tidak layak
178,Responden 178,ADBIS,89,90,89,89.3,90,90,90,90,90,90,89.7,Layak
179,Responden 179,ADBIS,85,80,85,83.3,80,80,85,85,80,82,82.7,Tidak Layak
180,Responden 180,ADBIS,88,88,85,87.0,85,88,85,85,88,86.2,86.6,Layak
181,Responden 181,AGRIBISNIS,87,87,87,87.0,80,80,80,80,80,80,83.5,Tidak Layak
182,Responden 182,AGRIBISNIS,89,90,90,89.7,90,90,90,89,90,89.8,89.7,Layak
183,Responden 183,AGRIBISNIS,85,85,85,85.0,80,80,78,78,78,78.8,81.9,Tidak Layak
184,Responden 184,AGRIBISNIS,85,88,85,86.0,88,85,88,90,85,87.2,86.6,Layak
185,Responden 185,AGRIBISNIS,85,85,80,83.3,80,85,80,80,80,81,82.2,Tidak Layak
186,Responden 186,AGRIBISNIS,85,85,85,85.0,85,85,85,85,85,85,85.0,Layak
187,Responden 187,AGRIBISNIS,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
188,Responden 188,AKUAKULTUR,85,85,85,85.0,85,80,85,85,85,84,84.5,Layak
189,Responden 189,AKUNTANSI,80,85,80,81.7,80,80,85,80,80,81,81.3,Tidak Layak
190,Responden 190,AKUNTANSI (Kampus 2),0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
191,Responden 191,D3 KEPERAWATAN,87,88,87,87.3,78,79,80,80,80,79.4,83.4,Tidak Layak
192,Responden 192,D3 KEPERAWATAN,85,85,85,85.0,85,82,85,80,85,83.4,84.2,Layak
193,Responden 193,D3 KEPERAWATAN,85,80,80,81.7,80,80,80,85,85,82,81.8,Tidak Layak
194,Responden 194,D3 KEPERAWATAN (Kampus 2),80,80,85,81.7,75,78,78,78,78,77.4,79.5,Tidak Layak
195,Responden 195,ILMU HUKUM,85,85,85,85.0,80,85,82,80,82,81.8,83.4,Tidak Layak
196,Responden 196,KIMIA,80,85,80,81.7,60,70,78,79,85,74.4,78.0,Tidak Layak
197,Responden 197,P.BIOLOGI,85,85,85,85.0,80,80,80,78,80,79.6,82.3,Tidak Layak
198,Responden 198,P.BIOLOGI,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
199,Responden 199,P.BIOLOGI,89,90,90,89.7,90,90,90,88,88,89.2,89.4,Layak
200,Responden 200,P.BIOLOGI,80,85,85,83.3,85,85,85,85,90,86,84.7,Layak
201,Responden 201,P.BIOLOGI,85,85,85,85.0,85,85,85,85,80,84,84.5,Layak
202,Responden 202,P.MATEMATIKA,90,90,90,90.0,90,89,88,85,90,88.4,89.2,Layak
203,Responden 203,PBSI,88,89,85,87.3,85,80,85,88,85,84.6,86.0,Layak
204,Responden 204,PGPAUD,78,80,78,78.7,75,75,80,80,85,79,78.8,Tidak Layak
205,Responden 205,PGSD,80,80,80,80.0,80,80,85,85,85,83,81.5,Tidak Layak
206,Responden 206,PGSD,90,90,90,90.0,90,90,90,90,90,90,90.0,Layak
207,Responden 207,PGSD,85,82,85,84.0,85,82,85,80,85,83.4,83.7,Layak
208,Responden 208,PGSD,85,90,85,86.7,85,90,85,88,90,87.6,87.1,Layak
209,Responden 209,PJKR,80,80,75,78.3,85,85,85,85,85,85,81.7,Layak
210,Responden 210,PTI,88,85,85,86.0,80,80,85,80,85,82,84.0,Tidak Layak
211,Responden 211,PTI,85,85,85,85.0,85,82,85,82,85,83.8,84.4,Layak
212,Responden 212,S1 KEPERAWATAN,80,85,85,83.3,85,80,75,80,85,81,82.2,Tidak Layak
213,Responden 213,S1 KEPERAWATAN,87,85,86,86.0,78,80,78,80,80,79.2,82.6,Tidak Layak
214,Responden 214,SASING,80,75,75,76.7,75,80,75,80,80,78,77.3,Tidak Layak
215,Responden 215,TEKNIK INFORMATIKA,85,85,85,85.0,80,80,78,78,78,78.8,81.9,Tidak Layak
216,Responden 216,TEKNIK INFORMATIKA,85,85,85,85.0,80,85,85,82,85,83.4,84.2,Layak
217,Responden 217,TEKNIK INFORMATIKA,82,82,82,82.0,85,85,85,82,85,84.4,83.2,Layak
218,Responden 218,TEKNIK SIPIL,90,90,90,90.0,90,90,90,89,90,89.8,89.9,Layak
219,Responden 219,ADBIS,85,75,85,81.7,70,80,80,85,70,77,79.3,Tidak layak
220,Responden 220,ADBIS,80,80,80,80.0,80,80,75,80,80,79,79.5,Tidak layak
221,Responden 221,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
222,Responden 222,ADBIS,82,80,82,81.3,80,85,82,80,80,81.4,81.4,Tidak layak
223,Responden 223,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
224,Responden 224,ADBIS,80,80,80,80.0,80,75,80,80,85,80,80.0,Tidak layak
225,Responden 225,ADBIS,80,85,80,81.7,75,80,80,85,85,81,81.3,Tidak layak
226,Responden 226,ADBIS,85,85,90,86.7,85,85,85,85,85,85,85.0,Layak
227,Responden 227,ADBIS,80,75,80,78.3,90,89,90,90,88,89.4,83.9,Tidak layak
228,Responden 228,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak layak
229,Responden 229,ADBIS,85,85,85,85.0,80,77,80,80,80,79.4,82.2,Layak
230,Responden 230,ADBIS,85,85,85,85.0,78,78,78,75,75,76.8,80.9,Tidak Layak
231,Responden 231,ADBIS,70,75,75,73.3,75,75,80,80,90,80,76.7,Tidak Layak
232,Responden 232,ADBIS,80,80,80,80.0,85,82,82,78,85,82.4,81.2,Tidak Layak
233,Responden 233,ADBIS,80,85,85,83.3,85,80,80,80,80,81,82.2,Tidak Layak
234,Responden 234,ADBIS,82,82,82,82.0,85,85,82,78,82,82.4,82.2,Tidak Layak
235,Responden 235,ADBIS,85,75,85,81.7,87,87,89,89,88,88,84.8,Tidak Layak
236,Responden 236,ADBIS,85,85,85,85.0,90,85,85,85,90,87,86.0,Tidak Layak
237,Responden 237,ADBIS,80,82,80,80.7,80,85,82,80,85,82.4,81.5,Tidak Layak
238,Responden 238,ADBIS,85,80,80,81.7,80,80,80,80,80,80,80.8,Tidak Layak
239,Responden 239,ADBIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
240,Responden 240,ADBIS,87,90,87,88.0,88,88,89,89,88,88.4,88.2,Layak
241,Responden 241,ADBIS,80,80,80,80.0,80,80,85,75,85,81,80.5,Tidak Layak
242,Responden 242,AGRIBISNIS,85,85,86,85.3,78,78,78,78,80,78.4,81.9,Tidak Layak
243,Responden 243,AGRIBISNIS,80,75,80,78.3,80,80,80,80,80,80,79.2,Tidak Layak
244,Responden 244,AGRIBISNIS,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
245,Responden 245,AGRIBISNIS,85,85,85,85.0,78,78,78,78,78,78,81.5,Tidak Layak
246,Responden 246,AGRIBISNIS,80,85,80,81.7,80,85,85,80,80,82,81.8,Tidak Layak
247,Responden 247,AGRIBISNIS,82,80,82,81.3,82,80,82,80,80,80.8,81.1,Tidak Layak
248,Responden 248,AKUAKULTUR,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
249,Responden 249,AKUNTANSI,80,80,80,80.0,78,78,78,70,75,75.8,77.9,Tidak Layak
250,Responden 250,AKUNTANSI,78,85,79,80.7,85,85,88,85,90,86.6,83.6,Tidak Layak
251,Responden 251,AKUNTANSI,80,80,80,80.0,80,85,80,80,80,81,80.5,Tidak Layak
252,Responden 252,ILMU HUKUM,82,85,82,83.0,80,82,85,82,85,82.8,82.9,Tidak Layak
253,Responden 253,ILMU HUKUM,85,85,85,85.0,70,78,78,75,70,74.2,79.6,Tidak Layak
254,Responden 254,P.BIOLOGI,85,85,85,85.0,85,82,85,80,85,83.4,84.2,Tidak Layak
255,Responden 255,P.BIOLOGI,80,80,80,80.0,80,85,85,85,85,84,82.0,Layak
256,Responden 256,P.BIOLOGI,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
257,Responden 257,P.BIOLOGI,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
258,Responden 258,P.BIOLOGI,85,85,85,85.0,79,78,78,78,78,78.2,81.6,Tidak Layak
259,Responden 259,P.MATEMATIKA,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
260,Responden 260,PBSI,80,78,78,78.7,75,70,70,75,73,72.6,75.6,Tidak Layak
261,Responden 261,PBSI,85,80,85,83.3,75,80,80,75,80,78,80.7,Tidak Layak
262,Responden 262,PBSI,85,85,85,85.0,79,78,78,78,78,78.2,81.6,Tidak Layak
263,Responden 263,PGSD,80,85,85,83.3,80,78,78,78,78,78.4,80.9,Tidak Layak
264,Responden 264,PGSD,80,80,77,79.0,70,70,70,70,75,71,75.0,Tidak Layak
265,Responden 265,PGSD,80,85,80,81.7,80,80,80,80,80,80,80.8,Layak
266,Responden 266,PGSD,85,85,85,85.0,78,80,75,75,78,77.2,81.1,Tidak Layak
267,Responden 267,PGSD,90,89,90,89.7,90,85,90,90,90,89,89.3,Layak
268,Responden 268,PTI,80,80,80,80.0,80,82,82,80,80,80.8,80.4,Tidak Layak
269,Responden 269,PTI,87,65,80,77.3,70,85,80,80,79,78.8,78.1,Tidak Layak
270,Responden 270,PTI,80,80,80,80.0,80,80,80,80,80,80,80.0,Tidak Layak
271,Responden 271,PTI,80,75,80,78.3,85,85,80,80,80,82,80.2,Tidak Layak
272,Responden 272,PTI,75,65,77,72.3,70,70,70,65,65,68,70.2,Tidak Layak
273,Responden 273,S1 KEPERAWATAN,0,0,0,0.0,0,0,0,0,0,0,0.0,Tidak Layak
274,Responden 274,S1 KEPERAWATAN,70,75,70,71.7,80,80,80,70,75,77,74.3,Tidak Layak
275,Responden 275,S1 KEPERAWATAN,85,88,85,86.0,90,88,90,90,90,89.6,87.8,Tidak Layak
276,Responden 276,S1 KEPERAWATAN,85,85,85,85.0,75,78,78,78,78,77.4,81.2,Tidak Layak
277,Responden 277,TEKNIK INFORMATIKA,85,85,90,86.7,77,88,80,78,88,82.2,84.4,Layak
278,Responden 278,TEKNIK SIPIL,85,80,85,83.3,80,75,78,75,80,77.6,80.5,Tidak Layak
279,Responden 279,TEKNIK SIPIL,85,85,80,83.3,80,79,78,79,79,79,81.2,Tidak Layak
280,Responden 280,TEKNIK SIPIL,80,80,80,80.0,80,82,82,82,85,82.2,81.1,Tidak Layak
